2654,8080,15806,25574,34882,44546,56462,67776,81515,95108
413,1099,2174,3286,4714,5829,6966,8105,9297,10483
607,1551,2471,3522,4637,5827,7138,8721,12294,14465
338,646,986,1027,1145,1276,1417,1574,1750,1938
